,date,close,open,low,high,volume
0,2020-09-21 09-PM,10475.89114981,10475.89114981,10475.89114981,10475.89114981,0.0
1,2020-09-21 09-PM,10505.41284143,10475.7184297,10471.4770824,10530.0,182310.89409141
2,2020-09-21 10-PM,10503.15366647,10505.41284138,10464.53251003,10506.81836379,207828.23532367
3,2020-09-21 10-PM,10480.48724723,10503.15366645,10480.48724723,10535.47869524,299241.59110928
4,2020-09-21 11-PM,10455.09627658,10479.90257053,10446.52131286,10504.86607202,320235.56595871
5,2020-09-21 11-PM,10412.84156851,10456.60544873,10410.46020001,10474.99999999,364279.99744529
6,2020-09-22 12-AM,10487.2284324,10414.39172885,10359.85682439,10488.24798678,496701.4419669
7,2020-09-22 12-AM,10460.41703032,10487.41856662,10449.99474406,10490.43648886,180763.37160619
8,2020-09-22 01-AM,10420.25002586,10459.47164042,10404.52024936,10469.33210277,327320.23378107
9,2020-09-22 01-AM,10439.03974555,10420.22501298,10411.48774613,10449.73468312,118050.15092082
10,2020-09-22 02-AM,10451.12035865,10439.03974554,10425.34006512,10457.81247408,148219.43190829
11,2020-09-22 02-AM,10468.65360712,10451.12035865,10432.47612687,10468.65360712,266043.67545816
12,2020-09-22 03-AM,10449.48861823,10468.65360712,10448.34482141,10478.5966,337937.98671219
13,2020-09-22 03-AM,10448.2870969,10452.2425058,10436.79728668,10467.74853119,56109.44771675
14,2020-09-22 04-AM,10473.89455098,10447.60506443,10447.60506443,10477.12461527,81054.35810201
15,2020-09-22 04-AM,10460.35601474,10473.90911471,10452.22177246,10485.0,219658.26940736
16,2020-09-22 05-AM,10449.51117447,10460.35601473,10442.02239836,10472.53969499,158768.257325
17,2020-09-22 05-AM,10464.93838192,10449.51117446,10444.38489873,10472.99910097,222127.51227393
18,2020-09-22 06-AM,10455.24194889,10464.24650376,10442.02182393,10501.36824523,259859.10966616
19,2020-09-22 06-AM,10424.37675878,10455.24194889,10407.06460662,10455.24194889,348192.68130282
20,2020-09-22 07-AM,10416.83808239,10424.06362713,10410.45503171,10443.82519996,389223.43854241
21,2020-09-22 07-AM,10374.00000003,10413.5805165,10361.32990001,10429.31902663,432070.83428126
22,2020-09-22 08-AM,10431.22494503,10374.00000003,10374.00000003,10444.88546652,297108.86401749
23,2020-09-22 08-AM,10463.01759912,10431.11490844,10429.15263472,10476.08159999,168552.1054946
24,2020-09-22 09-AM,10445.29499933,10465.51713735,10445.29499933,10472.51907275,153552.55198782
25,2020-09-22 09-AM,10456.53545721,10447.45529009,10445.86098292,10466.89934329,147766.34222073
26,2020-09-22 10-AM,10440.87307231,10456.44157131,10432.00000001,10476.08159999,57686.18426415
27,2020-09-22 10-AM,10457.54182533,10440.87307232,10438.86199818,10468.59837019,53015.30127404
